Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales,Profit Margin,Delivery Days
Furniture,Mission Viejo,United States,Liz Carlisle,Sauder,2020-01-31,US-2020-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,2020-02-02,First Class,California,Bookcases,0.15,3.4196,2,290.666,0.01,2
Technology,Green Bay,United States,Bradley Drucker,Enermax,2020-02-01,US-2020-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,2020-02-03,First Class,Wisconsin,Accessories,No discount,206.316,6,468.9,0.44,2
Office Supplies,Saint Petersburg,United States,Eric Barreto,Other,2020-02-02,US-2020-123400,33710,Surelock Post Binders,South,Consumer,2020-02-09,Standard Class,Florida,Binders,0.7,-12.224,2,18.336,-0.67,7
Office Supplies,San Diego,United States,Cynthia Delaney,Other,2020-02-02,US-2020-139857,92037,Staples,West,Home Office,2020-02-06,Standard Class,California,Fasteners,No discount,5.8045,5,12.35,0.47,4
Office Supplies,Seattle,United States,Tom Boeckenhauer,Avery,2020-02-03,US-2020-111059,98105,Avery Durable Poly Binders,West,Consumer,2020-02-06,Second Class,Washington,Binders,0.2,4.3134,3,13.272,0.32,3
Office Supplies,Escondido,United States,Mark Haberlin,GBC,2020-02-04,US-2020-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,2020-02-08,Second Class,California,Binders,0.2,6.0368,2,17.248,0.35,4
Office Supplies,San Diego,United States,Deborah Brumfield,GBC,2020-02-04,US-2020-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,2020-02-08,Standard Class,California,Binders,0.2,29.0136,3,82.896,0.35,4
Office Supplies,Romeoville,United States,Delfina Latchford,Avery,2020-02-06,US-2020-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,2020-02-10,Second Class,Illinois,Binders,0.8,-14.7708,2,8.952,-1.65,4
Office Supplies,Chesapeake,United States,Neil Ducich,Avery,2020-02-06,US-2020-131905,23320,Avery 480,South,Corporate,2020-02-09,First Class,Virginia,Labels,No discount,7.2,4,15.0,0.48,3
Office Supplies,New York City,United States,Chris Selesnick,Acco,2020-02-07,US-2020-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,2020-02-10,Second Class,New York,Storage,No discount,9.744,4,64.96,0.15,3
Technology,Linden,United States,Cyma Kinney,Maxell,2020-02-07,US-2020-107755,7036,Maxell DVD-RAM Discs,East,Corporate,2020-02-12,Standard Class,New Jersey,Accessories,No discount,49.6048,7,115.36,0.43,5
Furniture,North Las Vegas,United States,Nathan Mautz,Master Caster,2020-02-08,US-2020-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,2020-02-09,First Class,Nevada,Furnishings,No discount,5.5328,2,14.56,0.38,1
Furniture,Columbia,United States,Guy Armstrong,Global,2020-02-11,US-2020-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2020-02-15,Second Class,Missouri,Chairs,No discount,15.2225,1,60.89,0.25,4
Furniture,Chesapeake,United States,Natalie Fritzler,Hon,2020-02-11,US-2020-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,2020-02-15,Standard Class,Virginia,Tables,No discount,75.3732,6,1256.22,0.06,4
Furniture,Concord,United States,Sanjit Chand,Global,2020-02-12,US-2020-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,2020-02-18,Standard Class,California,Chairs,0.2,-24.294,2,129.568,-0.19,6
Office Supplies,Seattle,United States,Marina Lichtenstein,Belkin,2020-02-14,US-2020-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,2020-02-18,Standard Class,Washington,Appliances,No discount,22.9488,2,81.96,0.28,4
Office Supplies,Houston,United States,Shui Tom,Other,2020-02-14,US-2020-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8 x 11",Central,Consumer,2020-02-19,Second Class,Texas,Paper,0.2,6.066,3,16.176,0.38,5
Office Supplies,Seattle,United States,Barry Französisch,Pressboard,2020-02-15,US-2020-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,2020-02-19,Standard Class,Washington,Binders,0.2,7.209,5,21.36,0.34,4
Office Supplies,Dallas,United States,Michael Nguyen,Holmes,2020-02-16,US-2020-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,2020-02-21,Standard Class,Texas,Appliances,0.8,-13.93,2,7.96,-1.75,5
Office Supplies,Chicago,United States,Delfina Latchford,Staples in misc. colors,2020-02-17,US-2020-154165,60653,Staples in misc. colors,Central,Consumer,2020-02-24,Standard Class,Illinois,Art,0.2,8.8088,14,54.208,0.16,7
Furniture,Lubbock,United States,Troy Blackwell,DAX,2020-02-18,US-2020-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,2020-02-18,Same Day,Texas,Furnishings,0.6,-11.322,5,25.16,-0.45,0
Office Supplies,Arlington,United States,Aaron Bergman,Akro,2020-02-18,US-2020-152905,76017,Akro Stacking Bins,Central,Consumer,2020-02-24,Standard Class,Texas,Storage,0.2,-2.5248,2,12.624,-0.2,6
Furniture,Richmond,United States,Linda Cazamias,Master Caster,2020-02-20,US-2020-109491,47374,"Master Caster Door Stop, Brown",Central,Corporate,2020-02-26,Standard Class,Indiana,Furnishings,No discount,6.9088,4,20.32,0.34,6
Office Supplies,Los Angeles,United States,Steven Roelle,Xerox,2020-02-20,US-2020-164903,90049,Xerox 204,West,Home Office,2020-02-24,Standard Class,California,Paper,No discount,6.2208,2,12.96,0.48,4
Office Supplies,Woodstock,United States,Tamara Manning,GBC,2020-02-21,US-2020-165540,60098,GBC Standard Plastic Binding Systems Combs,Central,Consumer,2020-02-25,Standard Class,Illinois,Binders,0.8,-13.7175,5,8.85,-1.55,4
Office Supplies,Moreno Valley,United States,Sue Ann Reed,Xerox,2020-02-22,US-2020-133354,92553,Xerox 220,West,Consumer,2020-02-24,First Class,California,Paper,No discount,9.3312,3,19.44,0.48,2
Office Supplies,El Paso,United States,Michael Grace,GBC,2020-02-23,US-2020-103744,79907,GBC Plastic Binding Combs,Central,Home Office,2020-02-27,Standard Class,Texas,Binders,0.8,-6.8634,3,4.428,-1.55,4
Office Supplies,Medford,United States,Jennifer Halladay,TOPS,2020-02-24,US-2020-137680,97504,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",West,Consumer,2020-03-02,Standard Class,Oregon,Paper,0.2,7.6869,3,22.776,0.34,7
Office Supplies,Columbus,United States,Joy Smith,Zebra,2020-02-27,US-2020-156545,43229,Zebra Zazzle Fluorescent Highlighters,East,Consumer,2020-03-03,First Class,Ohio,Art,0.2,3.4048,4,19.456,0.18,5
Furniture,Elmhurst,United States,Vicky Freymann,Novimex,2020-03-01,US-2020-113880,60126,Novimex Swivel Fabric Task Chair,Central,Home Office,2020-03-05,Standard Class,Illinois,Chairs,0.3,-172.1172,6,634.116,-0.27,4
Furniture,El Paso,United States,Shahid Collister,Other,2020-03-01,US-2020-131009,79907,Harbour Creations Steel Folding Chair,Central,Consumer,2020-03-05,Standard Class,Texas,Chairs,0.3,0.0,6,362.25,0.0,4
Furniture,Seattle,United States,Dave Brooks,Global,2020-03-01,US-2020-104269,98115,Global Deluxe High-Back Manager's Chair,West,Consumer,2020-03-06,Second Class,Washington,Chairs,0.2,51.4764,2,457.568,0.11,5
Furniture,Houston,United States,Giulietta Weimer,Bevis,2020-03-01,US-2020-168312,77036,Bevis Round Conference Room Tables and Bases,Central,Consumer,2020-03-07,Standard Class,Texas,Tables,0.3,-43.0296,3,376.509,-0.11,6
Technology,New York City,United States,Hallie Redmond,Other,2020-03-01,US-2020-143707,10035,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,East,Home Office,2020-03-05,Standard Class,New York,Phones,No discount,1.6038,3,5.94,0.27,4
Office Supplies,New York City,United States,Kristina Nunn,Staple envelope,2020-03-02,US-2020-107524,10009,Staple envelope,East,Home Office,2020-03-08,Standard Class,New York,Envelopes,No discount,5.3392,2,11.36,0.47,6
Office Supplies,Philadelphia,United States,Nicole Hansen,Xerox 1971,2020-03-02,US-2020-111157,19120,Xerox 1971,East,Corporate,2020-03-06,Standard Class,Pennsylvania,Paper,0.2,1.07,1,3.424,0.31,4
Furniture,Columbus,United States,Jill Stevenson,O'Sullivan,2020-03-03,US-2020-127978,43229,O'Sullivan 4-Shelf Bookcase in Odessa Pine,East,Corporate,2020-03-08,Standard Class,Ohio,Bookcases,0.5,-199.617,5,302.45,-0.66,5
Furniture,San Diego,United States,Eva Jacobs,Bevis,2020-03-03,US-2020-105648,92037,"Bevis Oval Conference Table, Walnut",West,Consumer,2020-03-07,Standard Class,California,Tables,0.2,-23.4882,3,626.352,-0.04,4
Office Supplies,Houston,United States,Sam Craven,Other,2020-03-03,US-2020-130421,77095,3.6 Cubic Foot Counter Height Office Refrigerator,Central,Consumer,2020-03-07,Standard Class,Texas,Appliances,0.8,-459.6072,3,176.772,-2.6,4
Office Supplies,Wilmington,United States,Ashley Jarboe,Zebra,2020-03-03,US-2020-155852,28403,Zebra Zazzle Fluorescent Highlighters,South,Consumer,2020-03-07,Second Class,North Carolina,Art,0.2,3.4048,4,19.456,0.18,4
Office Supplies,New York City,United States,Anne Pryor,Cardinal,2020-03-03,US-2020-127964,10035,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",East,Home Office,2020-03-08,Standard Class,New York,Binders,0.2,9.1785,5,25.32,0.36,5
Office Supplies,Margate,United States,Sanjit Chand,BIC,2020-03-04,US-2020-117016,33063,"BIC Brite Liner Highlighters, Chisel Tip",South,Consumer,2020-03-09,Standard Class,Florida,Art,0.2,2.3328,3,15.552,0.15,5
Office Supplies,Columbia,United States,Clay Ludtke,Other,2020-03-04,US-2020-116239,29203,Sensible Storage WireTech Storage Systems,South,Consumer,2020-03-04,Same Day,South Carolina,Storage,No discount,17.745,5,354.9,0.05,0
Office Supplies,Yonkers,United States,Aimee Bixby,Newell,2020-03-05,US-2020-169061,10701,Newell 345,East,Consumer,2020-03-08,Second Class,New York,Art,No discount,15.4752,3,59.52,0.26,3
Furniture,Seattle,United States,Craig Molinari,Office Star,2020-03-07,US-2020-104563,98103,Office Star - Task Chair with Contemporary Loop Arms,West,Corporate,2020-03-12,Standard Class,Washington,Chairs,0.2,21.8352,6,436.704,0.05,5
Furniture,Seattle,United States,Aaron Bergman,Global,2020-03-07,US-2020-156587,98103,"Global Push Button Manager's Chair, Indigo",West,Consumer,2020-03-08,First Class,Washington,Chairs,0.2,5.4801,1,48.712,0.11,1
Office Supplies,Des Moines,United States,Nora Pelletier,Other,2020-03-07,US-2020-131982,98198,Catalog Binders with Expanding Posts,West,Home Office,2020-03-11,Second Class,Washington,Binders,0.2,33.64,2,107.648,0.31,4
Office Supplies,Denver,United States,Kean Thornton,Boston,2020-03-10,US-2020-140116,80219,"BOSTON Ranger #55 Pencil Sharpener, Black",West,Consumer,2020-03-17,Standard Class,Colorado,Art,0.2,9.3564,4,83.168,0.11,7
Office Supplies,Royal Oak,United States,Scott Williamson,Other,2020-03-10,US-2020-100279,48073,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Central,Consumer,2020-03-14,Standard Class,Michigan,Paper,No discount,10.7424,2,22.38,0.48,4
Furniture,Columbus,United States,Chloris Kastensmidt,Eldon,2020-03-11,US-2020-166884,43229,Eldon Wave Desk Accessories,East,Consumer,2020-03-16,Second Class,Ohio,Furnishings,0.2,2.288,5,8.32,0.27,5
Office Supplies,Richmond,United States,Filia McAdams,Fellowes,2020-03-11,US-2020-114790,40475,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",South,Corporate,2020-03-13,Second Class,Kentucky,Appliances,No discount,38.1576,3,146.76,0.26,2
Office Supplies,Roseville,United States,Richard Bierner,Other,2020-03-11,US-2020-103338,95661,Economy #2 Pencils,West,Consumer,2020-03-15,Standard Class,California,Art,No discount,2.0748,3,7.98,0.26,4
Office Supplies,New York City,United States,Kelly Andreada,Southworth,2020-03-11,US-2020-158337,10024,"Southworth 100% Résumé Paper, 24lb.",East,Consumer,2020-03-14,Second Class,New York,Paper,No discount,49.014,14,108.92,0.45,3
Furniture,Calgary,Canada,Nicole Fjeld,Global,2020-03-13,CA-2020-139675,T2C,Global Deluxe High-Back Manager's Chair,West,Home Office,2020-03-18,Second Class,Alberta,Chairs,0.2,102.95,4,915.14,0.11,5
Furniture,Chesapeake,United States,Christine Kargatis,Global,2020-03-14,US-2020-125521,23320,Global Commerce Series High-Back Swivel/Tilt Chairs,South,Home Office,2020-03-19,Standard Class,Virginia,Chairs,No discount,284.98,4,1139.92,0.25,5
Office Supplies,Huntington Beach,United States,Dean Katz,Avery,2020-03-14,US-2020-157623,92646,Avery Hi-Liter Fluorescent Desk Style Markers,West,Corporate,2020-03-18,Standard Class,California,Art,No discount,1.2506,1,3.38,0.37,4
Office Supplies,Logan,United States,Jason Fortune-,GBC,2020-03-14,US-2020-114510,84321,GBC Wire Binding Combs,West,Consumer,2020-03-19,Standard Class,Utah,Binders,0.2,11.1672,4,33.088,0.34,5
Office Supplies,Jacksonville,United States,Neil Französisch,Xerox,2020-03-14,US-2020-100293,32216,Xerox 1887,South,Home Office,2020-03-18,Standard Class,Florida,Paper,0.2,31.8696,6,91.056,0.35,4
Office Supplies,Chicago,United States,Rick Bensley,Xerox,2020-03-14,US-2020-152618,60653,Xerox 1963,Central,Home Office,2020-03-17,First Class,Illinois,Paper,0.2,2.64,2,8.448,0.31,3
Furniture,Tampa,United States,Alan Shonely,Eldon,2020-03-15,US-2020-149958,33614,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",South,Consumer,2020-03-19,Standard Class,Florida,Furnishings,0.2,5.1408,3,45.696,0.11,4
Technology,Raleigh,United States,Kristina Nunn,Polycom,2020-03-16,US-2020-157609,27604,Polycom VoiceStation 500 Conference phone,South,Home Office,2020-03-21,Second Class,North Carolina,Phones,0.2,29.495,2,471.92,0.06,5
Furniture,New York City,United States,Christine Phan,Balt,2020-03-17,US-2020-148838,10024,Balt Solid Wood Round Tables,East,Corporate,2020-03-21,Standard Class,New York,Tables,0.4,-553.6476,4,1071.576,-0.52,4
Office Supplies,Lakeville,United States,Bradley Nguyen,Bionaire,2020-03-17,US-2020-118339,55044,Bionaire Personal Warm Mist Humidifier/Vaporizer,Central,Consumer,2020-03-24,Standard Class,Minnesota,Appliances,No discount,36.5742,2,93.78,0.39,7
Office Supplies,Jackson,United States,Mark Haberlin,Belkin,2020-03-17,US-2020-164763,39212,Belkin 6 Outlet Metallic Surge Strip,South,Corporate,2020-03-21,Standard Class,Mississippi,Appliances,No discount,8.4942,3,32.67,0.26,4
Office Supplies,Dallas,United States,Annie Zypern,Newell,2020-03-17,US-2020-158442,75217,Newell 333,Central,Consumer,2020-03-17,Same Day,Texas,Art,0.2,0.3336,2,4.448,0.08,0
Office Supplies,Philadelphia,United States,Quincy Jones,Xerox,2020-03-17,US-2020-127859,19134,Xerox 1909,East,Corporate,2020-03-20,Second Class,Pennsylvania,Paper,0.2,41.1528,6,126.624,0.32,3
Furniture,San Francisco,United States,Eileen Kiefer,Bush,2020-03-18,US-2020-111871,94110,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",West,Home Office,2020-03-21,Second Class,California,Bookcases,0.15,70.49,10,1198.33,0.06,3
Furniture,Jacksonville,United States,Sean Miller,Dana,2020-03-18,US-2020-145317,32216,"Dana Fluorescent Magnifying Lamp, White, 36""",South,Home Office,2020-03-23,Standard Class,Florida,Furnishings,0.2,15.294,3,122.352,0.12,5
Furniture,Burbank,United States,Sample Company A,Eldon,2020-03-18,US-2020-131275,91505,Eldon Cleatmat Chair Mats for Medium Pile Carpets,West,Home Office,2020-03-24,Standard Class,California,Furnishings,No discount,14.43,2,111.0,0.13,6
Furniture,Lakeland,United States,Matt Connell,Other,2020-03-19,US-2020-103989,33801,Document Clip Frames,South,Corporate,2020-03-21,First Class,Florida,Furnishings,0.2,5.5044,3,20.016,0.28,2
Furniture,Knoxville,United States,Gary McGarr,Global,2020-03-21,US-2020-155544,37918,Global Highback Leather Tilter in Burgundy,South,Consumer,2020-03-25,Standard Class,Tennessee,Chairs,0.2,-10.9188,3,218.376,-0.05,4
Office Supplies,Springfield,United States,Kristen Hastings,Other,2020-03-21,US-2020-163223,22153,American Pencil,South,Corporate,2020-03-25,Standard Class,Virginia,Art,No discount,2.7028,4,9.32,0.29,4
Office Supplies,Hamilton,United States,Cassandra Brandow,Binney & Smith,2020-03-21,US-2020-140004,45011,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",East,Consumer,2020-03-25,Standard Class,Ohio,Art,0.2,1.5876,3,6.048,0.26,4
Office Supplies,Asheville,United States,Thomas Seio,Tennsco,2020-03-21,US-2020-107405,28806,Tennsco Commercial Shelving,South,Corporate,2020-03-25,Standard Class,North Carolina,Storage,0.2,-3.8646,1,16.272,-0.24,4
Furniture,Tucson,United States,Beth Fritzler,Office Star,2020-03-22,US-2020-148040,85705,Office Star - Mesh Screen back chair with Vinyl seat,West,Corporate,2020-03-26,Standard Class,Arizona,Chairs,0.2,-35.3646,3,314.352,-0.11,4
Office Supplies,Portage,United States,Vivian Mathis,Avery,2020-03-22,US-2020-129609,46368,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Central,Consumer,2020-03-22,Same Day,Indiana,Art,No discount,6.512,2,16.28,0.4,0
Office Supplies,Greensboro,United States,Craig Carroll,GBC,2020-03-22,US-2020-158057,27405,GBC Prestige Therm-A-Bind Covers,South,Consumer,2020-03-26,Standard Class,North Carolina,Binders,0.7,-39.4565,5,51.465,-0.77,4
Office Supplies,Delray Beach,United States,Bruce Geld,Avery,2020-03-23,US-2020-164749,33445,Avery 476,South,Consumer,2020-03-26,First Class,Florida,Labels,0.2,3.2214,3,9.912,0.32,3
Office Supplies,Los Angeles,United States,Patrick O'Donnell,Other,2020-03-23,US-2020-120838,90036,Economy Rollaway Files,West,Consumer,2020-03-26,Second Class,California,Storage,No discount,85.904,2,330.4,0.26,3
Furniture,Fresno,United States,Maurice Satty,DAX,2020-03-24,US-2020-143637,93727,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",West,Consumer,2020-03-29,Second Class,California,Furnishings,No discount,14.5728,2,40.48,0.36,5
Office Supplies,New York City,United States,Carlos Daly,Xerox,2020-03-24,US-2020-147235,10024,Xerox 190,East,Consumer,2020-03-28,Standard Class,New York,Paper,No discount,11.703,5,24.9,0.47,4
Furniture,New York City,United States,Annie Zypern,Iceberg,2020-03-25,US-2020-148586,10009,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",East,Consumer,2020-04-01,Standard Class,New York,Chairs,0.1,65.2064,7,366.786,0.18,7
Office Supplies,San Francisco,United States,Christina Anderson,BIC,2020-03-25,US-2020-128237,94110,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",West,Consumer,2020-03-30,Standard Class,California,Art,No discount,9.9216,6,25.44,0.39,5
Office Supplies,San Francisco,United States,Damala Kotsonis,Newell,2020-03-26,US-2020-141838,94122,Newell 308,West,Corporate,2020-03-31,Second Class,California,Art,No discount,0.84,2,3.36,0.25,5
Office Supplies,Pomona,United States,Cindy Stewart,Smead,2020-03-26,US-2020-100860,91767,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,West,Consumer,2020-03-30,Second Class,California,Labels,No discount,9.0,5,18.75,0.48,4
Technology,Los Angeles,United States,Jonathan Doherty,SanDisk,2020-03-26,US-2020-138436,90036,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,West,Corporate,2020-03-30,Standard Class,California,Accessories,No discount,8.619,3,66.3,0.13,4
